,a1,a1_std,a2,a2_std,b,b_std
django__django-13012,0.8201725,0.80381966,-5.761219,1.0491852,-2.0660424,0.6127922
django__django-15814,-0.30357704,0.7738571,-6.877954,0.88203686,-3.2180243,0.829293
django__django-11400,0.1156491,0.8501332,-5.267262,1.9042804,7.204039,3.3852806
django__django-14672,1.1786011,0.7297272,-3.597822,0.7521571,-2.3537803,0.54506487
sympy__sympy-24562,0.48580244,1.0132637,-6.0193586,0.6194536,0.9986286,0.6884986
sympy__sympy-24213,0.72354215,0.9322396,-3.963779,0.460852,-5.7460785,0.83920884
django__django-16877,0.39779928,1.0196203,-7.875151,1.4123895,-1.7736361,0.8300378
django__django-13023,0.20818341,0.9322791,-7.288429,1.2750319,-0.68902725,0.9277065
pydata__xarray-4075,-0.13143022,1.0682214,-6.436557,0.9310061,-5.875568,0.9401047
scikit-learn__scikit-learn-14629,0.46962005,0.89456207,-6.499969,1.6069791,1.5094198,1.3911107
django__django-15278,-0.07779354,0.88200945,-5.66623,0.67107105,-2.3317618,0.5987967
django__django-16116,-0.6910038,0.6608946,-4.1423674,0.8983736,-1.9545916,0.46823362
pylint-dev__pylint-4604,0.13028258,0.94402844,-4.8602686,1.7553781,8.472701,3.072247
matplotlib__matplotlib-20676,0.20665315,0.75689423,-6.2706776,1.2620034,1.7033695,0.6638197
sympy__sympy-21930,0.22532405,0.94875425,-5.371285,2.2891858,7.6710773,3.2426825
django__django-16595,-0.009782809,0.8899829,-3.6511636,0.69780487,-3.7592416,0.5994823
sphinx-doc__sphinx-10449,-0.48471215,0.917735,-5.2773595,0.9154122,0.032239914,0.53914106
django__django-14493,-0.21818823,0.89465064,-6.2498565,1.0755775,-4.0225596,0.8558177
pytest-dev__pytest-10356,0.23714216,1.3893447,-4.789802,1.5846858,8.733122,2.7710483
pydata__xarray-4356,-0.12959795,0.8310222,-5.87596,0.54010767,-4.588717,0.8568786
django__django-10554,0.26277336,1.1163576,-6.0730867,1.6866273,6.591894,2.8566937
django__django-11206,-0.19286951,0.97158855,-6.565747,1.1578853,-2.0913703,0.88323754
django__django-15098,0.33029628,0.93976957,-6.432388,1.541327,5.0626974,2.1483986
sphinx-doc__sphinx-9367,0.5423526,0.58872324,-4.0088124,0.75989634,-2.6863277,0.6152396
sympy__sympy-16792,0.7583619,0.62584996,-7.2015233,1.2552323,0.13566259,0.7549167
django__django-13112,-0.13165186,0.65221286,-6.0478554,0.9742428,1.9814794,0.49274433
django__django-11880,0.6823899,1.0628664,-7.0555863,1.04432,-5.8053417,0.78669995
sympy__sympy-13877,0.2709844,0.82518035,-3.0375507,0.78891814,-0.5250155,0.5490581
sympy__sympy-24661,0.32250074,0.7854185,-6.926323,1.0039665,-2.6365907,0.72364724
astropy__astropy-14995,-0.7589343,0.8777849,-4.765318,0.9985126,-4.010657,0.7660489
django__django-14011,0.05954442,0.9781387,-0.82554644,0.59669566,10.732478,3.0306613
django__django-13363,0.15072468,0.7772676,-6.863635,0.7335038,-6.62687,1.0938522
pydata__xarray-6461,0.51905406,0.6208995,-4.3687267,1.1309441,-0.9616266,0.6062929
sympy__sympy-13480,-0.23817904,0.91026944,-6.3591604,1.267511,-5.913622,1.0048375
django__django-14500,-0.19284612,0.94338316,-5.9794455,1.2777942,-3.1817067,0.7342346
django__django-11149,0.21350637,0.9379425,-5.457394,1.4353472,-0.05052284,0.726851
pylint-dev__pylint-8898,0.23253767,0.8344839,-5.9706736,1.3827325,1.3223324,0.64700603
django__django-13794,0.262065,0.8237962,-6.42692,1.5952641,0.13706145,0.8960547
matplotlib__matplotlib-26291,0.88192004,0.72142756,-4.466861,0.8978778,-0.98316556,0.56537205
django__django-13809,0.75732905,0.78185475,-2.4143722,0.31925064,-2.3022692,0.56746536
sphinx-doc__sphinx-7462,0.1719011,1.0757207,-6.0735006,1.9711825,8.623543,4.000077
django__django-13933,-1.4345752,0.6121467,-4.818326,0.86067414,-2.4648292,0.48192948
sphinx-doc__sphinx-8120,-0.54256564,0.57533187,-4.9985275,1.0670552,-0.25599894,0.5735027
django__django-15103,-0.034216553,0.9015188,-6.455398,1.1662121,-2.8228245,0.7886106
django__django-13315,0.6824278,0.84408975,-5.9065247,0.950494,-1.7314875,0.77269393
matplotlib__matplotlib-23412,0.76897645,0.67885476,-4.170579,0.9315687,-1.2019763,0.509482
django__django-16950,0.41281822,0.71114016,-6.661078,1.1732223,5.7307043,1.5465074
django__django-15104,-0.05241577,0.9939919,-6.8188224,1.1532626,-7.927342,1.3633378
django__django-15380,0.26367286,0.8449576,-7.395946,0.64529777,-2.4046144,0.8314353
sympy__sympy-15875,-0.20645812,0.72778803,-6.907392,1.2916838,-2.9166203,0.85452
sympy__sympy-18698,1.1347685,0.7646252,-4.564565,0.9368577,3.4745739,1.0877413
scikit-learn__scikit-learn-13142,0.029879728,0.7689628,-7.0229254,1.4598923,-2.3239245,1.0363088
psf__requests-1766,0.14322871,0.7590087,-4.6786046,0.75295186,-3.444994,0.74466586
astropy__astropy-14365,0.037624832,0.9198015,-6.690165,1.8593397,0.65623087,1.7404567
django__django-16642,-0.2690656,0.7214198,-4.425879,0.98957586,-2.0236814,0.61798036
sympy__sympy-16597,0.22316195,1.1776028,-5.592255,1.6449443,7.0975347,3.292734
sympy__sympy-12489,0.3552097,0.9639994,-2.5066228,0.32211843,3.5800643,0.9108989
django__django-11239,0.26100013,1.2434565,-7.004564,1.4480944,-0.75086534,1.1508659
matplotlib__matplotlib-24026,-0.10823073,0.795398,-4.365935,0.7839374,-3.329927,0.5760717
sphinx-doc__sphinx-7440,1.699994,0.51534176,-3.5985973,0.6767201,0.08266968,0.38123232
django__django-16560,-0.8046248,0.68770134,-6.5732083,1.5811626,1.5145365,1.0568231
django__django-14752,-0.33158177,0.8030914,-6.9780636,0.9151128,-7.8057795,1.0115961
django__django-15930,1.3912213,0.8942914,-4.1832666,0.9686206,-1.4746854,0.7376659
django__django-13028,0.044060122,0.84639037,-4.749875,1.1018841,-1.8431418,0.6467434
django__django-12143,-1.807035,0.9361149,-5.5840273,1.0513272,-5.44958,0.85276794
matplotlib__matplotlib-23299,-0.07048333,0.7552179,-4.5059695,1.3076103,1.9417738,0.797313
django__django-14631,-0.7530564,0.84694445,-3.5115829,0.8292396,0.28123933,0.5991174
django__django-17087,0.37604713,0.8298813,-7.416513,1.4700124,-1.9995203,0.7371627
django__django-11138,0.101534754,1.003636,-6.10972,1.4843316,4.4788632,2.2448587
sympy__sympy-15349,0.045745738,0.6748614,-3.8740041,0.8261977,-1.6839043,0.56490386
pytest-dev__pytest-7432,0.23249418,0.78347814,-7.435335,1.7212787,-2.536314,0.8168608
django__django-11099,-0.9404102,0.8214843,-2.778617,0.62815094,-4.1669364,0.7111736
astropy__astropy-14369,0.03409529,1.0973296,-6.8349094,1.5112612,0.8844287,1.4740286
scikit-learn__scikit-learn-13439,0.3583864,0.6888219,-2.954281,0.72149694,-2.6425483,0.55581117
psf__requests-1142,0.4463654,0.37199497,-0.4948546,0.11428132,-0.06269408,0.20229106
django__django-14238,-0.524803,0.93154037,-5.716686,1.0246644,-2.7096584,0.68009233
sympy__sympy-19346,0.11332637,0.6097723,-5.04277,0.84322494,-3.030248,0.7320279
django__django-16429,-0.4941948,0.64519125,-5.1777816,0.7175375,-4.8173523,0.88468474
django__django-14034,0.022688836,1.1656095,-2.5642478,1.259982,10.261966,2.498556
matplotlib__matplotlib-26113,1.4856745,0.69455564,-4.3062115,0.83920866,-2.4844732,0.5239506
matplotlib__matplotlib-26466,0.2726185,1.0084215,-5.795057,1.5170637,7.087032,2.947146
django__django-13810,0.262821,0.78439283,-6.7753606,1.4014184,-3.4993296,0.8161253
sphinx-doc__sphinx-10435,0.3904027,0.79962164,-5.930758,1.2238941,6.746885,1.8999485
pytest-dev__pytest-6202,-0.12469062,0.8370534,-6.97807,1.2410625,-7.7976584,1.3348497
sphinx-doc__sphinx-8593,0.900439,0.7414863,-7.118326,1.6187423,0.22130635,0.97909474
django__django-15127,-0.4651071,0.72739583,-7.0521927,1.1546304,-0.25260928,0.9340347
sphinx-doc__sphinx-7748,0.24707735,1.0570703,-5.0399103,1.8660988,9.493504,3.2041354
django__django-15252,0.21613756,1.086035,-6.2157197,1.1923941,5.768632,2.214042
sphinx-doc__sphinx-8056,-0.18763241,0.8934563,-6.0755253,1.3262798,2.4399555,0.894876
sympy__sympy-23950,-0.6798709,0.70048493,-5.4535565,0.99137825,-2.098427,0.588163
matplotlib__matplotlib-24570,0.38506395,0.65778434,-3.2676275,0.7171258,-1.548343,0.521799
scikit-learn__scikit-learn-14983,0.22560829,0.7189808,-6.924762,1.5342851,0.3875244,1.0339249
django__django-11728,-0.2563146,0.82322454,-5.2592807,1.0178155,3.3866541,0.81505126
scikit-learn__scikit-learn-14496,-1.1967449,0.64411753,-3.835426,0.59992576,-4.6953607,0.7058284
matplotlib__matplotlib-24870,-0.043974023,0.9898115,-5.970117,1.6132078,6.757027,2.5730462
sphinx-doc__sphinx-9602,-0.18425862,1.0179769,-6.041359,1.6487632,4.9854894,2.772449
django__django-11087,0.39961842,0.8552396,-3.8290527,1.8324853,10.350609,3.352139
django__django-16139,0.05293721,0.8988923,-5.64896,0.7505424,-7.6462083,1.1435803
sympy__sympy-18189,0.22106045,0.7045277,-6.1487875,0.8006083,-1.5670011,0.73262984
matplotlib__matplotlib-14623,-0.14269365,0.7272996,-7.035615,1.7132756,0.9168229,0.71313065
matplotlib__matplotlib-25332,0.08817122,0.6884933,-6.77734,1.4635539,0.01987566,0.6853972
sympy__sympy-19495,0.71103066,0.66943216,-4.4699445,0.98843855,-0.8782808,0.52971756
django__django-16502,0.022992406,1.0760181,-5.62709,2.2237086,7.124816,3.4059963
sympy__sympy-13091,0.5513063,0.87445545,-6.5362473,1.0682905,5.289012,1.7744386
django__django-14771,0.62171817,1.0502216,-6.5929685,0.6994048,-1.1904902,0.82803714
sphinx-doc__sphinx-10673,-0.025530588,0.8155313,-5.282475,1.2258569,-0.86807555,0.6706218
django__django-15629,0.22401944,1.1865973,-5.4357333,1.9050099,8.688925,2.3896742
matplotlib__matplotlib-13989,1.1980813,0.46669984,-4.913381,0.8880153,-0.71667665,0.5145329
sympy__sympy-20590,-0.40051252,0.7738184,-5.541996,1.0623417,1.2729628,0.63782537
pydata__xarray-7233,0.24937467,1.0053731,-7.2919583,1.1601906,-4.142725,0.7774581
sympy__sympy-14976,-0.18518975,0.60763085,-6.2217054,1.1047028,0.1918938,0.55151224
sympy__sympy-12096,0.12974018,0.8646641,-6.318899,0.9190604,-6.2673726,0.97478646
django__django-13820,-0.5168514,0.8872483,-6.394725,0.6957376,-5.754137,1.0500576
django__django-16315,0.77109766,0.80136573,-5.6764464,1.3696764,-0.14337501,0.7855962
sympy__sympy-15809,0.7507598,0.5584042,-1.8679409,0.6142743,-1.0201247,0.347825
sympy__sympy-23413,-0.06284153,0.9657936,-6.2514267,1.3816007,1.3788633,1.1144595
matplotlib__matplotlib-26208,-0.057088207,1.0051789,-3.8496165,0.4757957,10.093153,2.7307696
django__django-10914,-1.1505541,0.49813595,-3.2566006,0.6530105,-3.8974307,0.553467
sympy__sympy-17139,0.22499393,0.8865373,-6.0642996,0.9832943,-1.8006167,0.8628031
sympy__sympy-19637,-0.09692112,0.84534883,-4.9520965,0.68819904,-4.9479346,0.9069712
sphinx-doc__sphinx-8459,1.1412752,0.889681,-6.3098903,1.4362913,0.95859206,0.69993484
sympy__sympy-23824,0.75887424,0.7085285,-4.985227,0.8294972,-1.8279449,0.5023912
django__django-14007,-0.67917275,0.53347516,-6.7377987,1.2468019,-0.9402148,0.7510171
sphinx-doc__sphinx-7757,-0.40070245,1.0012971,-6.8444643,1.50146,0.400511,1.0317106
django__django-12050,0.40960103,0.6997343,-6.8841734,0.71984893,-4.855332,0.7795977
pytest-dev__pytest-10081,0.7746712,0.54813486,-4.776561,0.9013867,-0.85876316,0.5504295
django__django-16333,0.68808544,1.0825346,-7.194895,1.1562715,-5.604796,0.94659925
django__django-13212,-0.06621796,1.2062128,-5.353896,1.7764378,6.840729,3.9526248
django__django-14311,-0.52104384,0.8551229,-5.3786936,0.44498265,0.33213842,0.6442738
sympy__sympy-13615,-0.1151547,0.93605137,-7.142314,1.4946928,-0.6767604,1.0640851
django__django-11749,-0.32833385,0.7788993,-5.756611,1.0552917,-1.7869093,0.70463514
django__django-11276,-1.7312635,0.6932872,-3.941842,0.7557139,-2.5857184,0.43799558
pydata__xarray-3151,0.030542573,0.8913128,-7.4637775,1.3726507,-2.057188,0.8248524
pytest-dev__pytest-5840,0.24268736,1.2328389,-6.2592454,1.1934196,6.604232,3.1007016
pytest-dev__pytest-5787,-0.37706664,1.1131841,-6.5943604,1.5728948,3.5537813,1.2911241
django__django-16667,0.0628104,0.9054108,-5.570348,1.8239846,7.8130774,3.483352
pydata__xarray-2905,0.14920355,0.8431791,-6.9430804,1.6310916,-0.30092677,0.834596
matplotlib__matplotlib-24149,-0.21709046,0.6767235,-5.006836,0.82235044,-1.5771158,0.5192024
django__django-12308,0.0429133,0.57351446,-6.22715,1.3068057,-1.1723484,0.8518771
pydata__xarray-7393,0.3664906,0.57150406,-1.7464656,0.30802432,-0.42026415,0.45822182
sympy__sympy-16766,-1.4939134,0.76765716,-3.8633401,0.7359063,-3.9337325,0.74309134
django__django-15851,0.31060955,0.89485544,-5.862159,0.9008086,-3.191102,0.6505129
django__django-15503,0.37759984,0.8767044,-6.476296,0.5694689,5.438006,1.1961058
scikit-learn__scikit-learn-25931,-1.1476126,0.57994217,-4.525939,1.0052394,-0.6861628,0.47204548
scikit-learn__scikit-learn-14894,0.02575168,0.6495447,-6.1552815,0.81723994,-5.109609,0.64944285
pydata__xarray-4094,0.382627,0.6308657,-6.210524,0.9070611,0.8824568,0.69836533
django__django-13821,0.661204,0.9215137,-6.952916,1.4365999,-3.9529824,0.75685483
scikit-learn__scikit-learn-26323,-0.96826655,0.50086576,-4.257515,0.92046505,-1.5711131,0.4326159
scikit-learn__scikit-learn-9288,-0.09858431,0.82824033,-6.688289,1.4644485,-1.3847194,0.80878055
django__django-16631,0.10483914,1.0070242,-6.2220225,1.8831983,7.2012267,2.854663
django__django-13569,0.21668473,1.2203704,-6.4969583,1.1998818,-3.5460632,0.87470794
django__django-15554,-0.10419477,0.8776713,-6.650123,1.4017038,3.4870515,1.2711916
django__django-12209,-0.7051569,0.7661112,-7.103688,1.3306417,-1.8863496,0.72490877
django__django-11119,0.022931958,0.9346299,-5.6507854,0.5826043,-7.7410502,1.4020581
matplotlib__matplotlib-20488,-0.08189396,0.6101813,-2.7358935,0.31489652,1.1715862,0.55720466
django__django-11179,0.74047905,0.6794234,-7.0035377,1.3741744,-4.6222463,0.92252386
django__django-11299,-0.5735961,0.78301936,-5.776411,0.69491833,1.0501693,0.57706964
django__django-13513,0.08619219,1.0521896,-0.807498,0.46319216,10.2519865,2.2884097
sphinx-doc__sphinx-7590,-0.18590187,1.1585736,-5.7295,1.3998823,7.738586,3.122892
django__django-16901,-0.66654104,0.6294222,-7.0434804,1.3514559,-2.1494937,0.71425474
scikit-learn__scikit-learn-12682,-0.26765797,0.91486984,-7.6996207,1.3925076,-0.12075673,0.89641505
django__django-11603,0.35777685,0.97647345,-3.6679354,0.6202282,-4.7847524,0.8365784
sympy__sympy-22456,-0.14708467,0.839687,-4.475623,1.2031794,-1.6524833,0.58221036
django__django-14434,0.6988545,1.0273765,-7.3045454,1.5516119,-0.40011796,0.6353862
astropy__astropy-7336,-0.18101905,0.82823557,-4.9112163,0.8044873,-4.446082,0.8788168
django__django-11790,0.14388172,0.9937723,-6.3349605,0.709077,-3.569569,0.8242798
django__django-14053,-0.25387532,0.66519016,-5.091689,0.9106804,-3.0663424,0.7364334
sympy__sympy-24443,-1.1265883,0.92642844,-3.808864,0.684123,-2.726993,0.58833337
django__django-13964,0.06772349,0.8130816,-5.01332,1.2581153,-0.6161344,0.61898303
matplotlib__matplotlib-25311,-0.056500148,0.7243297,-6.764518,1.4075184,-0.0040841172,0.63138014
pylint-dev__pylint-4551,0.025906792,1.1204801,-5.497807,1.5713441,8.817793,3.9581907
pydata__xarray-6721,0.7054607,0.4828105,-3.5135736,0.83933425,0.3610411,0.46861207
pylint-dev__pylint-4661,0.22479166,1.0536593,-5.378517,1.3984445,8.039606,2.8306994
sphinx-doc__sphinx-9673,1.3515049,0.65809727,-5.4349074,1.1314453,0.21744044,0.61133635
django__django-15987,-0.40418443,0.8687457,-5.0746293,0.707379,-4.3875875,0.60527927
scikit-learn__scikit-learn-14087,0.20684348,0.6700131,-5.9441695,1.4088213,-0.32834196,0.7229932
sympy__sympy-17655,-0.3438798,0.65532315,-7.2240357,1.2734885,-1.8250589,0.7074757
django__django-14376,0.08633793,0.79596114,-5.644284,1.2454156,1.695923,1.1081125
pytest-dev__pytest-5631,-0.298775,0.73796153,-7.3107867,1.5731826,-1.1966856,0.73775053
django__django-15161,0.37427723,0.8333187,-5.996002,1.7171359,-0.24386497,0.54397315
django__django-14089,-0.44944334,0.5615373,-4.816915,0.90924704,-4.2308283,0.90744334
sympy__sympy-14711,-1.5596424,0.70609283,-3.4700475,0.30586153,-3.138086,0.7466438
django__django-16255,0.20488909,0.8532212,-3.3565197,0.39208597,-4.748648,0.8454235
django__django-16493,0.6485241,0.79893625,-6.6685452,0.87860835,-5.5186286,0.969863
sphinx-doc__sphinx-9281,0.22273213,0.96740615,-7.617609,1.3736603,-1.5484883,0.8579754
sympy__sympy-20438,0.07461264,0.9753624,-6.0003324,1.5949901,7.313031,3.2568753
sphinx-doc__sphinx-8721,0.855985,0.7765473,-4.880517,0.97152025,-2.7163484,0.52077276
sympy__sympy-20801,0.36122403,1.0470525,-5.6207857,1.0575914,-1.7004174,0.7551759
scikit-learn__scikit-learn-10844,-0.3954892,0.734744,-6.3873296,0.9883742,-9.040981,1.0471625
sympy__sympy-20428,0.13968389,0.88201594,-5.007718,2.429,8.836396,3.1433098
matplotlib__matplotlib-22719,-0.17907333,0.7824292,-2.9865875,0.56235075,-2.8916216,0.4541882
sympy__sympy-23534,0.25641832,0.6597922,-6.0223665,1.2697542,-2.1397202,0.70589924
sphinx-doc__sphinx-7985,-0.315569,0.930202,-5.8511705,1.1296874,3.7696965,0.99858934
django__django-15499,1.6481603,0.85212564,-4.8584914,1.0615857,-2.8925052,0.68706286
django__django-16136,-0.12385914,0.75703776,-7.864801,1.3964851,-1.2689632,0.6391789
django__django-14608,0.5356512,0.77196336,-4.5494823,1.1249887,-2.4397626,0.6019789
django__django-13279,-0.20944698,0.9140098,-5.9840465,0.8132765,-3.1435854,0.8664079
sphinx-doc__sphinx-7910,-1.068919,0.65417504,-4.654253,0.9439654,-0.9386765,0.55985314
django__django-16527,-0.29169497,0.8972807,-6.3304443,0.9302014,-8.959232,1.2111537
django__django-12754,-0.21760343,0.78699714,-7.6573663,1.4860575,0.23389876,0.8639624
django__django-11740,-0.28442028,0.56507003,-5.5538154,0.9749075,1.0579532,0.52985793
sympy__sympy-15599,0.2733147,0.8838782,-6.3621373,1.7259101,1.5721569,0.9192266
pydata__xarray-6992,-0.06563392,1.0497072,-5.420714,1.5605524,7.1179323,3.6743443
psf__requests-2317,-0.7439275,0.66641724,-4.727677,0.8425724,-2.2671947,0.55988485
django__django-9296,-0.19019736,0.76753247,-6.1088696,0.82586074,-9.943577,1.2291919
sympy__sympy-13852,-0.14086752,1.210254,-5.9400516,2.203436,7.433521,3.703585
