,a1,a1_std,a2,a2_std,a3,a3_std,b,b_std
astropy__astropy-14182,0.16211379,12.709564,1.3388908,1.2158273,9.124973,1.099062,5.431533,2.2837431
scikit-learn__scikit-learn-15100,0.2814721,10.798393,1.2203385,0.70374143,9.491453,1.989699,-5.1757646,0.9523128
django__django-14765,0.25770608,9.484233,1.2434509,1.1210388,7.122734,1.085002,-7.246548,1.2464182
sympy__sympy-19040,0.34687945,6.8281193,0.61911374,0.87288654,3.6919804,0.8481653,5.32633,1.2220038
django__django-15973,0.75348836,9.677767,1.0311785,1.1737669,6.409505,1.3805242,8.575164,1.5952398
django__django-14534,0.2563509,11.287838,1.330744,0.96935284,10.692179,0.8877514,6.0697184,2.196833
pytest-dev__pytest-7490,0.30308172,5.048958,1.74692,0.9457922,9.999315,0.68642676,1.8068825,0.8859423
astropy__astropy-14508,0.49610135,9.783314,0.83526814,0.9021548,12.327368,3.1961536,0.75432366,1.0101268
django__django-13410,0.47426552,8.342512,0.4214842,1.05006,7.657839,1.7883606,-4.8022385,0.69059426
django__django-11066,-0.29485047,6.356884,-0.19969973,0.43954718,3.8845165,0.8532746,-3.1057606,0.7669916
sympy__sympy-13798,0.24468398,10.220518,-0.20527221,0.6925132,3.6356208,0.43958825,2.5199745,0.8909314
django__django-11999,0.64076465,9.389955,1.5357983,0.96221066,10.570009,2.7505374,-3.9008932,0.922884
matplotlib__matplotlib-22865,0.09856611,7.8193655,2.5300345,0.9023157,3.3642013,0.78369284,1.2103072,0.7594015
matplotlib__matplotlib-20859,0.32711416,6.5178995,0.96030784,0.84428084,5.857975,1.476325,-0.42591327,0.56718934
pydata__xarray-3305,0.7765127,8.961526,0.6842624,0.85402966,17.857624,0.79784954,-0.4785016,0.9245717
django__django-16819,0.72151995,4.084087,2.1026907,0.8398252,9.782785,0.30947927,-0.1811965,1.1554252
django__django-16899,0.13738516,6.4952483,1.9195966,0.7148203,3.990134,0.8184542,-1.7070389,0.80677557
django__django-11815,0.24244615,6.0381246,1.7688142,1.0919755,9.0383625,1.798037,-2.9398694,0.85390645
sympy__sympy-15345,0.05741125,9.329774,-0.07107023,0.53084916,7.852527,2.003404,-0.8935986,0.87700766
django__django-14373,0.49177477,10.839011,1.4611684,0.9057924,7.4308896,1.022994,-7.2567973,0.603334
sympy__sympy-14248,0.7930001,7.6660323,1.3729019,1.1441377,7.7502303,2.4401433,7.059487,2.2990906
scikit-learn__scikit-learn-10297,0.25772694,8.110755,1.1433414,0.7088361,8.078539,1.0878023,-4.951234,1.0567725
django__django-14559,0.28208998,8.509356,-0.30492312,0.6462859,6.6909633,1.9613173,-1.8733304,0.569861
django__django-11477,0.18484727,11.028259,0.4249699,0.64038974,8.328129,2.0363994,3.956541,1.2420077
django__django-11555,-0.16965972,8.035731,0.23688766,0.7804747,5.60709,1.2690151,1.2186203,0.66922677
django__django-16100,0.78508127,8.761495,0.86410993,0.4753585,11.575431,3.6422048,-2.2739873,0.9112751
pytest-dev__pytest-5809,0.731725,6.1553555,1.4716781,0.9294243,3.707693,0.84867096,-3.9761765,0.7699755
django__django-15268,0.056852985,7.4906416,1.0042616,0.97026217,10.8370285,1.8265972,3.054971,0.9453147
django__django-11333,0.52088255,7.992639,-0.006983329,0.78559566,6.448348,0.5529386,0.53685266,0.7430145
sympy__sympy-17630,0.7792134,10.136965,1.0908904,0.96394503,7.59985,2.904157,6.450596,2.9237218
django__django-13516,0.5120855,7.218106,2.181026,0.7428435,6.011693,1.149416,-1.74417,0.7447784
django__django-15382,0.17529039,7.328594,1.7354462,0.8661297,9.450997,2.7249215,-1.023278,0.6808994
matplotlib__matplotlib-24177,0.6903512,8.71685,0.761206,0.9946077,8.278489,1.8682816,6.9961333,1.4292165
django__django-12774,0.89824545,7.1943965,1.9410337,0.7938805,7.589108,1.7973629,1.5627196,0.9708187
django__django-14170,0.54572606,8.915001,1.2321402,1.2852863,7.35124,2.68646,6.6588445,1.6922393
django__django-12858,0.049811535,8.344853,1.1163174,0.8711751,8.501285,0.49430415,-0.7756236,0.70679677
sympy__sympy-20916,0.5441873,9.045897,0.6724918,0.98863965,10.956461,2.349217,4.9470677,2.0639157
pytest-dev__pytest-8399,0.8375181,4.691475,1.4559458,0.51588184,2.4827077,0.4230339,-2.309741,0.6337317
django__django-11141,0.16905951,8.333688,1.2668779,0.79817986,11.833561,2.4231527,4.3627605,1.2439036
sphinx-doc__sphinx-8265,0.57454073,9.791958,1.4905149,0.9913874,8.461982,2.023387,6.48556,1.8412437
django__django-13033,0.3487461,6.808186,2.477814,0.5718598,12.942233,0.6585938,0.06646604,1.280574
django__django-15280,0.4937691,7.6467195,1.1870763,1.1424224,6.920643,1.8833642,7.763914,1.9031839
django__django-11820,0.3082537,12.745183,1.0652194,1.3967867,7.986194,4.304021,5.4985304,2.4237897
sympy__sympy-15976,0.26984647,7.211924,1.2203252,0.78719556,8.481007,0.59461105,2.7862086,1.4413154
astropy__astropy-13236,0.46956798,9.708939,2.2249422,0.8025303,10.330446,1.3885455,1.1223854,1.5669076
django__django-14155,0.3054861,7.0606613,1.2905898,1.0435373,6.891207,4.1132526,6.5641675,2.383079
sympy__sympy-23262,0.46655014,8.020586,1.9783148,0.78164494,7.051212,1.6734575,-0.43811882,0.8340015
django__django-12276,-0.1928562,5.559157,1.0617808,0.62647843,2.32992,0.67177224,-2.6648378,0.5512393
matplotlib__matplotlib-25122,0.23484865,7.483403,0.91789204,0.66166896,4.9197526,1.3473196,-2.4979424,0.71104336
astropy__astropy-7671,-1.6416739,4.1265526,1.5795139,0.60137784,1.6772218,0.47155023,-1.8043438,0.49149927
django__django-15572,-0.13074082,8.812934,1.6038651,0.9160056,7.48455,0.55051374,-2.3398662,0.6279374
django__django-13012,0.42661062,8.696762,2.1390555,0.83378935,5.7236843,1.4236932,-1.3461819,0.65401614
django__django-15814,0.4888087,9.716383,1.5223534,0.75528073,8.988266,0.83092123,-2.4909763,0.93918616
django__django-11400,-0.037878357,12.876663,1.2382227,1.1980646,5.920365,4.5602303,6.6383924,2.2423692
django__django-14672,0.37954044,4.898704,2.0485067,0.5435733,3.0943823,0.7685792,-1.7374595,0.3861707
sympy__sympy-24562,0.84834325,6.1425767,1.2840024,0.8269335,6.437759,1.6218929,1.6993421,0.81350815
sympy__sympy-24213,0.21272576,7.8219666,1.3893114,0.6083549,2.9920034,0.7822475,-4.6313252,0.66527
django__django-16877,0.1464465,8.470829,2.019311,0.7493803,11.506485,3.388878,-0.90499943,0.9371139
django__django-13023,-0.13603814,10.541057,1.727735,0.86505467,14.143799,0.7389433,0.851166,1.5281777
pydata__xarray-4075,0.25803447,9.731722,1.3950628,0.96619844,7.804877,1.4445999,-4.5166817,0.9625005
scikit-learn__scikit-learn-14629,0.6940836,11.313128,1.2390046,1.2185382,10.371939,2.9104054,2.7256036,1.3508716
django__django-15278,0.47511506,6.9479756,0.8964703,0.65831596,7.337803,2.038886,-1.2694546,0.54863447
django__django-16116,0.022662401,8.385198,0.016659515,0.41372424,4.7014565,0.5191481,-1.2272702,0.5247267
pylint-dev__pylint-4604,0.9072523,10.703006,1.0909668,1.3193423,3.9402838,2.554677,7.3214116,2.6495132
matplotlib__matplotlib-20676,0.69095254,9.6155815,0.40448558,0.6895093,8.877528,1.8329928,2.8927884,0.72291744
sympy__sympy-21930,0.73373044,11.140901,1.4832789,1.470122,5.531004,3.1680717,7.303686,1.7895603
django__django-16595,0.057234395,8.120363,1.2406197,0.699801,3.3566377,0.8393966,-2.8688233,0.60342383
sphinx-doc__sphinx-10449,0.3291123,7.471489,1.8055962,0.98572975,4.9115863,1.1023875,0.8182604,0.6307884
django__django-14493,0.2656393,7.797625,2.0081205,0.9705244,7.0745583,2.758645,-3.223761,1.05825
pytest-dev__pytest-10356,-0.054402623,8.347285,0.24286628,0.78974926,4.5776334,3.3001595,8.5500555,2.1349237
pydata__xarray-4356,0.3249966,9.7920065,0.2421718,0.75935704,8.560194,0.6361742,-3.9350903,0.8997423
django__django-10554,0.60955477,11.7885475,1.0984281,1.4337859,7.4785423,2.5723789,6.1067576,2.8351297
django__django-11206,0.3512399,8.850265,0.7836307,1.2074947,13.140706,2.9002604,-1.2050445,1.176883
django__django-15098,0.715957,14.31461,1.387692,1.1877697,7.8797326,1.8476815,6.5250278,2.4282277
sphinx-doc__sphinx-9367,0.9440169,7.53637,0.50929254,0.6026242,5.1347065,0.26087895,-1.9824655,0.63342744
sympy__sympy-16792,0.50592923,10.035332,2.358158,0.79214334,10.514786,2.3089592,1.6991241,0.79095966
django__django-13112,-0.16556807,4.6881185,1.9354621,0.59252477,3.194344,0.5947131,2.2064774,0.5104875
django__django-11880,0.48484853,9.7590065,2.3902638,0.39772755,11.532456,2.3228216,-5.075863,1.1627823
sympy__sympy-13877,0.63030785,4.363537,0.61437804,0.5528555,2.7604947,0.7689087,0.14761743,0.5909619
sympy__sympy-24661,0.068318084,7.9902368,1.4473913,0.95391303,9.910198,2.2799737,-1.6642156,0.58341706
astropy__astropy-14995,0.31916416,9.554833,0.30191618,0.5816854,6.0894594,1.5370533,-3.1164637,0.78904986
django__django-14011,0.5197644,9.823867,1.0000638,0.93557954,-1.5107557,1.0868956,9.404453,2.5166261
django__django-13363,0.4435572,8.966784,1.6364163,0.9056829,10.15897,1.4067073,-5.9446354,1.072222
pydata__xarray-6461,0.2704865,6.6521335,1.4419848,0.58747125,4.4480143,1.1922159,-0.16105984,0.4941034
sympy__sympy-13480,-0.18921359,6.857256,0.99457043,0.77418756,8.038762,1.4289416,-4.8285093,0.8461512
django__django-14500,0.25313178,9.696135,0.7106921,0.88693,8.591436,0.47394896,-2.204318,0.70008105
django__django-11149,0.097236924,9.468049,0.5894212,1.0481125,6.8052897,0.7279687,0.7110419,0.9819775
pylint-dev__pylint-8898,0.22000247,9.975397,0.38657156,0.6232597,9.623732,2.4612336,2.3852692,1.0214509
django__django-13794,-0.15078361,8.7833,1.2197025,1.1083124,9.408816,3.8037827,1.1857356,1.3629661
matplotlib__matplotlib-26291,0.6334438,8.181215,1.3833783,0.46797916,4.193354,0.886356,-0.104491904,0.47151682
django__django-13809,0.33410817,3.0512376,1.5423223,0.5196969,1.6046425,0.48036095,-1.7969667,0.5881624
sphinx-doc__sphinx-7462,0.7785271,9.531728,0.92193276,1.1843553,2.3952978,2.1890693,8.098933,1.7121072
django__django-13933,0.39289775,6.106006,-0.57734615,0.5628792,7.1684613,1.2961674,-1.7907884,0.65547013
sphinx-doc__sphinx-8120,0.34053305,8.076622,0.6743588,0.5156451,5.3862953,1.4880135,0.3908807,0.5110475
django__django-15103,0.32605347,8.456371,0.57845324,0.9779139,11.010145,3.018465,-1.8337976,0.8939029
django__django-13315,0.39759734,6.680956,2.3179593,0.8889207,5.4154015,1.4739537,-1.1587871,0.7352463
matplotlib__matplotlib-23412,-0.22478046,5.810613,2.0662925,0.7117005,3.2426257,0.5067577,-0.65835506,0.46708632
django__django-16950,0.40662616,4.4150505,1.2336832,1.1785394,7.7687445,1.0070957,7.684775,1.6648314
django__django-15104,0.09711188,11.517935,0.93666214,1.1834297,9.820597,1.8919642,-7.202934,1.0473936
django__django-15380,-0.07762659,10.806187,1.7556957,1.1192242,13.0643215,0.840784,-1.581396,0.92738104
sympy__sympy-15875,0.36181065,7.851497,0.9211799,0.90252197,13.332893,2.3909764,-2.2599506,0.8252448
sympy__sympy-18698,0.6089893,5.848402,1.1856269,0.6084301,3.4607856,0.87303007,3.7062228,0.63393515
scikit-learn__scikit-learn-13142,0.42940164,11.112195,1.0686291,1.1096951,13.301645,3.0120387,-1.2304027,1.0308845
psf__requests-1766,0.49945548,5.698212,1.924889,0.8319164,4.2660456,0.9200002,-2.480101,0.7465448
astropy__astropy-14365,0.40791968,11.78165,1.6199732,1.0414001,10.946442,3.1574535,1.8269215,2.1447206
django__django-16642,0.5273883,2.831204,-0.9803247,0.5021923,6.838784,1.5837014,-1.2072059,0.46135104
sympy__sympy-16597,-0.03929843,11.337819,1.2167245,1.3578922,5.8727055,2.8086352,7.2086735,2.4115446
sympy__sympy-12489,0.7056736,4.493525,-1.3776252,0.28793973,1.899615,0.48829117,2.932911,0.7412591
django__django-11239,0.33087462,10.605389,1.6162508,1.3911256,12.880952,1.5356923,0.5153343,1.5047492
matplotlib__matplotlib-24026,0.17213048,6.9118958,1.5455918,0.6941842,4.5320473,1.4281974,-2.585738,0.56752926
sphinx-doc__sphinx-7440,0.6901004,2.5672064,2.6480274,0.6786007,2.181283,0.43804306,0.4621317,0.41539842
django__django-16560,-0.12133475,9.56478,1.0897946,0.30129662,12.412425,1.6707306,3.0972846,1.2273105
django__django-14752,0.4454158,7.9312325,0.99280345,0.8663043,9.592936,1.8897576,-7.1356244,0.87914646
django__django-15930,0.58535206,5.8407874,1.5786003,0.79422116,3.6872292,0.89537054,-0.9459154,0.6734492
django__django-13028,0.8550029,7.798629,0.7684933,0.6625614,5.9041615,0.22024824,-0.70069814,0.77085453
django__django-12143,0.5366317,10.87123,-1.1217389,0.63605,9.627817,1.473,-5.485975,1.0355175
matplotlib__matplotlib-23299,0.037648153,8.390089,0.9627675,0.92308754,4.06919,0.8305491,2.5907679,0.7944164
django__django-14631,0.28883982,5.6421795,0.72438085,0.52752256,3.0376825,0.8149742,0.86031544,0.61593634
django__django-17087,0.14330776,7.875534,2.3517718,1.3464885,10.720113,2.8515592,-0.82277244,0.9908213
django__django-11138,0.23448192,7.8339,1.0429294,1.0535629,8.396052,2.2145877,6.0057783,2.2110147
sympy__sympy-15349,-0.1433788,5.9446898,0.13011262,0.5617987,3.9596164,1.087449,-0.9809708,0.46616963
pytest-dev__pytest-7432,0.11798496,9.802642,1.9249315,0.69672084,11.652204,3.075186,-1.325295,0.7882533
django__django-11099,0.24028221,5.489266,-0.17733996,0.36553127,3.7700143,0.40922335,-3.7012775,0.6356506
astropy__astropy-14369,-0.030879093,11.371044,1.4145142,1.2956328,11.030618,1.3011187,2.4447339,1.7395405
scikit-learn__scikit-learn-13439,0.4352583,5.2302513,0.8390999,0.548901,2.5123837,0.60367364,-2.2366416,0.42191523
psf__requests-1142,-0.12302216,1.4983535,2.8849494,0.45628738,-0.04424746,0.07034288,-0.06010431,0.3103683
django__django-14238,0.3809128,7.5530696,0.53941554,0.48291925,8.420338,2.0959206,-1.8612422,0.6563769
sympy__sympy-19346,0.48798648,4.389151,1.6192818,0.9931824,7.1413417,0.28621602,-2.620783,0.81656474
django__django-16429,0.029860912,8.319513,0.1012311,0.8549529,6.306883,1.2773079,-3.6163752,0.73789656
django__django-14034,0.40550005,10.096016,0.81082386,1.1342926,-1.3033961,0.9020473,8.9185095,2.0773559
matplotlib__matplotlib-26113,0.47754234,6.4653373,2.7347279,0.6973439,3.5437875,1.0691019,-1.7997416,0.58957046
matplotlib__matplotlib-26466,0.15703133,11.569828,1.0855688,1.279027,6.231057,3.8932512,6.679767,2.9574971
django__django-13810,0.21631756,5.404427,1.4614223,0.9415807,10.580323,1.4315412,-2.8536808,0.8493914
sphinx-doc__sphinx-10435,0.3090169,7.0766554,1.3301073,1.4571521,4.916473,1.1722848,7.5056295,1.7916313
pytest-dev__pytest-6202,0.62935346,9.4143305,0.99725044,1.1037126,9.885445,1.4378793,-7.0599256,1.3037035
sphinx-doc__sphinx-8593,0.455704,10.027691,2.5068796,1.0201962,10.727892,0.98625326,2.1440573,1.0472865
django__django-15127,0.5384693,9.23496,0.9997658,0.64387995,15.366482,0.7284265,1.0000379,1.3130786
sphinx-doc__sphinx-7748,0.53313863,10.3003235,1.1910899,1.3421652,2.1932628,1.9255618,8.226225,2.701939
django__django-15252,0.5417574,9.590986,0.6951837,0.98874384,6.90283,2.3769667,7.018582,2.2227757
sphinx-doc__sphinx-8056,0.6001759,7.162837,1.8860383,0.8100319,4.989533,0.7528471,3.3773324,1.0846661
sympy__sympy-23950,0.22468822,8.857143,0.46921083,0.5394095,7.8923826,0.38732904,-1.4116509,0.5520007
matplotlib__matplotlib-24570,0.022538882,5.5949016,0.93972725,0.56160617,2.8522816,0.80380183,-1.1825064,0.6325535
scikit-learn__scikit-learn-14983,0.24767765,7.2526903,0.9046852,1.0819414,11.457834,2.5519867,2.039482,1.151068
django__django-11728,0.12747389,8.869888,0.44360524,0.6962188,4.7588816,1.0861038,3.832762,0.93078
scikit-learn__scikit-learn-14496,0.17391953,6.888229,-0.351888,0.5809164,4.0818043,0.99993145,-4.3437953,0.7986555
matplotlib__matplotlib-24870,0.71900284,10.2867985,1.043068,0.9598095,6.629421,2.0720568,7.0146303,2.500278
sphinx-doc__sphinx-9602,0.83373296,11.080593,1.434732,1.0866421,8.850222,1.3033476,5.874718,2.9661474
django__django-11087,0.54899657,6.3837295,0.770786,1.1505848,0.052121107,1.7262205,8.678442,1.493058
django__django-16139,0.1423216,8.545451,1.7723641,0.7463299,4.8812656,0.79862857,-5.6194553,1.1333624
sympy__sympy-18189,0.49848956,8.445739,2.022578,0.49136835,9.564611,0.5201829,-0.43131104,0.80582
matplotlib__matplotlib-14623,0.3988224,8.221539,1.1299806,0.8751727,13.665193,2.8628716,3.4933364,0.594314
matplotlib__matplotlib-25332,0.5395087,7.498477,1.0586785,0.9078052,9.956429,2.194327,1.5873091,0.6532657
sympy__sympy-19495,0.35289833,6.450244,1.2274288,0.93265325,4.1911163,1.1015846,-0.31118986,0.559104
django__django-16502,0.5760326,12.556625,1.5007702,1.3115511,6.398282,3.0935848,7.3520164,1.4398856
sympy__sympy-13091,0.41456756,7.572623,1.1108145,0.8921003,7.1947455,1.5737125,7.021673,1.5076654
django__django-14771,0.30760387,10.295504,2.3138804,0.8506991,8.466453,0.529818,-0.28544405,0.8146579
sphinx-doc__sphinx-10673,0.2501059,6.3106613,2.1495724,0.77798307,5.0693507,0.73634017,-0.4726763,0.6341895
django__django-15629,0.11889281,9.8395605,1.6746162,1.3651247,4.0923448,1.2908012,8.086301,1.8145347
matplotlib__matplotlib-13989,0.47019893,5.4086895,1.6972971,0.4530069,3.3629704,0.81443864,-0.0846791,0.5258521
sympy__sympy-20590,0.33276108,8.81578,-0.4897422,0.52993727,8.8497,1.1360422,2.8234684,0.7902874
pydata__xarray-7233,0.23605132,8.026906,1.8716766,1.1123986,12.726675,2.6969872,-3.4486272,0.9819327
sympy__sympy-14976,0.8283331,7.2989473,-0.034304984,0.5598898,8.641382,1.7881843,1.3906236,0.7904746
sympy__sympy-12096,0.4195448,8.338453,1.263925,1.0413502,9.145166,2.719404,-5.1288185,0.9430171
django__django-13820,0.21033587,11.582447,1.2139688,1.0166237,7.5219774,2.2873752,-4.392196,1.1290661
django__django-16315,0.3282358,8.394076,2.0123525,0.94934577,4.9754233,2.0078473,0.39777988,0.59967506
sympy__sympy-15809,0.96097386,2.918787,0.52998555,0.23408076,1.3616484,0.34210387,-0.6336521,0.31695855
sympy__sympy-23413,0.69258994,9.315345,1.2448227,1.1766353,8.028851,2.3656259,2.5955842,1.1759863
matplotlib__matplotlib-26208,0.78526866,4.9586673,0.0763701,0.8874815,1.184325,0.31055075,8.761846,1.4473656
django__django-10914,0.1942057,5.1935725,-0.19508086,0.4015324,3.676303,0.6870077,-3.0786529,0.6414982
sympy__sympy-17139,0.4965403,7.476969,1.1575061,0.6070461,7.0064445,0.5403536,-0.81865585,0.6469654
sympy__sympy-19637,0.5339303,7.072397,1.484802,0.99075115,4.7706685,1.1748692,-3.5347803,0.99444336
sphinx-doc__sphinx-8459,0.7505278,5.980197,2.0528955,0.62933344,6.7921033,1.5747,1.9414501,0.6237562
sympy__sympy-23824,0.38386998,7.140906,1.4829826,0.70255184,4.808472,0.8328565,-1.0159353,0.4974339
django__django-14007,0.39463186,10.225108,0.19111986,0.75050473,11.297631,2.2827327,0.15456532,0.79267657
sphinx-doc__sphinx-7757,0.07371182,6.981523,1.7552004,1.041478,10.147955,2.162839,1.9717398,1.1707088
django__django-12050,0.14748104,6.200416,1.0419374,1.0555747,11.61288,2.1751814,-4.1943517,0.9538647
pytest-dev__pytest-10081,0.4468541,6.5745363,1.4286772,0.5835402,4.251326,1.0918878,-0.34846935,0.35798964
django__django-16333,-0.011862464,11.352729,1.7325696,1.0573884,11.341845,1.9890063,-5.2221437,0.97021496
django__django-13212,0.75267845,9.421905,1.4667218,1.3366966,6.5355973,3.7823834,6.955424,2.441166
django__django-14311,0.9869985,5.8419466,0.028295312,0.6243536,5.210677,0.4952404,0.86934143,0.80202585
sympy__sympy-13615,0.5851914,9.697175,1.1047595,1.331684,13.364311,0.919253,0.47175434,1.2697163
django__django-11749,0.378679,10.704714,1.1009352,0.99610907,7.5007367,1.9236673,-0.79939723,0.7097863
django__django-11276,-0.083442286,6.3726764,-0.7942774,0.4996156,4.8941827,1.110667,-2.2513058,0.4368798
pydata__xarray-3151,0.11832185,8.066398,0.99481744,1.1243001,13.966942,3.5864878,-1.0080402,0.985471
pytest-dev__pytest-5840,0.04822023,13.772062,1.2184736,1.2148612,7.107533,3.5233681,7.0322795,2.8513627
pytest-dev__pytest-5787,0.14687786,7.7671046,0.7409687,0.9867231,9.495703,1.3010166,6.232741,1.282701
django__django-16667,0.13692588,12.723499,1.332899,1.0605251,5.9221015,3.1494396,7.141537,1.9904301
pydata__xarray-2905,0.60974735,8.447909,0.82911474,0.7086539,12.665733,2.3403213,1.63838,0.8911256
matplotlib__matplotlib-24149,0.74863386,6.0417438,0.16043922,0.4980446,6.446045,1.7806631,-0.82722825,0.45019042
django__django-12308,0.60790515,7.537944,1.3902376,0.7909782,7.8708363,1.2600956,-0.35034624,1.1648234
pydata__xarray-7393,0.6106277,3.6409683,0.17571378,0.4277559,1.4154958,0.3870243,0.17128088,0.41341063
sympy__sympy-16766,0.08207119,7.9290237,-0.5789471,0.40549338,5.5924067,0.94378394,-3.7669494,0.7910227
django__django-15851,0.637158,6.682886,0.95429564,0.56356263,8.077981,2.0887985,-2.5023773,0.580121
django__django-15503,0.66391355,7.902131,1.2989836,0.95855844,6.348137,1.2198323,6.6635957,1.4361587
scikit-learn__scikit-learn-25931,0.709248,5.572581,-0.20606793,0.4836568,5.376478,1.0484098,0.21504445,0.4485024
scikit-learn__scikit-learn-14894,0.20246705,9.867451,1.1828734,0.9365676,7.574837,2.05076,-3.9340475,0.8706779
pydata__xarray-4094,0.29918286,7.7122593,1.8889586,0.54459244,8.082929,1.8953123,2.223528,0.6474597
django__django-13821,0.49436206,10.334841,1.5696447,0.79756325,9.385699,2.204031,-3.0342124,0.9756775
scikit-learn__scikit-learn-26323,0.83354497,4.1572285,0.24250825,0.38097596,4.8625736,1.3721843,-0.74586344,0.43732953
scikit-learn__scikit-learn-9288,0.25988388,6.2917614,0.8376705,0.9226469,11.280601,1.4173253,-0.13448346,0.92024904
django__django-16631,0.43714118,11.920362,1.0838621,1.2561858,6.188763,3.9482846,6.848764,2.2083728
django__django-13569,0.011139699,11.660349,0.86262804,1.0548505,11.478929,2.806789,-2.5875804,0.7887691
django__django-15554,0.14411286,4.4238567,1.728015,1.180107,10.571514,0.81563336,5.3613477,1.4177215
django__django-12209,1.1288682,7.563572,0.64670837,0.77393544,11.394349,0.7200724,-0.7566758,0.7854279
django__django-11119,0.25175592,5.1566606,1.3663117,0.89719623,4.945893,0.67976314,-5.396584,0.92851824
matplotlib__matplotlib-20488,-0.26976725,2.8490634,-0.33988243,0.27926168,1.6520478,0.41259843,1.4294144,0.3525859
django__django-11179,0.08962308,10.136217,1.5799307,0.98293066,10.862603,2.5442944,-3.830917,0.9050081
django__django-11299,0.34427118,4.950164,0.6331146,0.6753637,6.5708485,1.1975043,2.2552109,0.60678834
django__django-13513,0.36336604,6.6651554,0.58879524,0.92012006,-2.1920393,0.5021441,9.690671,2.0389535
sphinx-doc__sphinx-7590,0.38767773,9.342383,0.86792797,1.1447566,6.249529,1.9164171,7.707445,1.8936923
django__django-16901,0.32253003,11.4729595,0.47611004,0.725536,13.161179,3.5541577,-1.3757656,0.6655195
scikit-learn__scikit-learn-12682,0.12514177,9.414063,1.3146378,0.8729595,13.62673,2.8982005,1.8681748,0.95122916
django__django-11603,0.49599755,7.2547646,0.7943586,0.5701896,3.8649607,0.47300878,-4.012149,0.5288441
sympy__sympy-22456,0.015811477,7.2610903,0.5672186,0.57307035,5.6670423,1.3498603,-0.7338823,0.7224295
django__django-14434,0.5396572,7.9928184,2.8296077,0.6707227,8.042267,1.8874638,0.8383146,0.79751194
astropy__astropy-7336,0.32851937,6.601937,1.8906159,0.9165094,4.8970795,1.0614853,-3.2826383,0.76834387
django__django-11790,0.08080961,9.378542,1.2050751,1.006576,8.517354,2.1201372,-2.5818667,0.8600967
django__django-14053,0.71023804,3.981906,0.47117308,0.58053315,6.473788,0.35865185,-2.1472704,0.6958062
sympy__sympy-24443,-0.45943102,6.487135,0.06970969,0.5968539,4.140246,0.9637112,-1.9043945,0.4569325
django__django-13964,0.51948273,6.850257,0.41080317,0.63170713,6.1053,1.5242807,0.17599444,0.50068146
matplotlib__matplotlib-25311,0.29593074,7.6963153,1.6559136,0.74804425,8.798473,2.4122918,1.0013502,0.69609517
pylint-dev__pylint-4551,0.4086754,7.4866853,1.334802,1.358369,1.968558,2.182105,8.340082,2.2548978
pydata__xarray-6721,1.2772521,2.9436374,3.5284586,0.42516947,1.3595035,0.16594645,0.28981096,0.48438397
pylint-dev__pylint-4661,0.6394096,14.078893,0.9412171,1.309922,4.079221,3.8202777,7.8167005,2.5563579
sphinx-doc__sphinx-9673,0.4255409,7.470164,2.2420502,0.47760203,4.341042,1.0867056,0.84946877,0.7198397
django__django-15987,-0.14901988,7.5329313,1.2812067,0.5924725,5.4281406,1.0362725,-3.3633142,0.7775721
scikit-learn__scikit-learn-14087,0.9113176,8.9373255,1.2649558,0.58573556,8.292244,1.0066407,1.0902332,0.68724936
sympy__sympy-17655,0.31126148,9.012749,0.74719733,0.72698814,14.016796,0.59096175,-1.080546,0.89032567
django__django-14376,0.53365046,9.937203,2.376377,1.0925583,3.9361005,1.0550694,2.1046436,0.87950164
pytest-dev__pytest-5631,0.2903425,10.138388,1.4997976,1.1233733,13.869849,1.2948785,0.41734844,0.97861516
django__django-15161,-0.26869282,6.8833084,2.0089753,0.6042482,6.228973,1.5460868,0.43057522,0.6315195
django__django-14089,-0.18145233,8.913695,1.3102273,0.870287,4.6478457,1.1540148,-3.0173347,0.77289593
sympy__sympy-14711,-0.08130433,6.081542,-0.38978338,0.3068745,3.8878481,0.91792613,-2.6461244,0.53235185
django__django-16255,0.4693089,6.911803,0.88329244,0.68728137,2.6382785,0.72259784,-3.7456384,0.82944965
django__django-16493,0.8869477,11.035589,1.2653137,1.2205744,11.362119,2.7909317,-4.678588,1.071357
sphinx-doc__sphinx-9281,0.41090277,10.294266,1.5135477,0.911069,14.316764,4.190307,-0.20217153,1.1197814
sympy__sympy-20438,0.35052583,14.980491,1.5281034,1.3313217,6.0895343,2.170596,7.2249103,2.6490853
sphinx-doc__sphinx-8721,0.41262984,7.6835585,2.599885,0.39487606,4.397416,1.1352661,-1.6931539,0.5347779
sympy__sympy-20801,0.5515569,4.7730727,1.6169955,0.73332477,6.276109,1.2688746,-0.7558673,0.62781775
scikit-learn__scikit-learn-10844,0.37377697,6.4390745,1.1625166,1.373286,7.3476543,1.4317808,-7.3749647,1.4106243
sympy__sympy-20428,-0.105419084,8.451602,0.5432117,1.2590519,3.809387,1.8372971,8.38857,3.300051
matplotlib__matplotlib-22719,0.11440062,6.2744217,1.4176188,0.74339306,2.6091962,0.34399557,-2.212115,0.5160156
sympy__sympy-23534,0.29273257,9.606727,1.2421352,0.6216129,7.67319,0.47081053,-0.91576385,0.62531245
sphinx-doc__sphinx-7985,0.1808957,10.994269,-0.14272876,1.1471144,6.0103106,2.0901246,4.476316,0.97639644
