instance_id,debugging_complexity,codebase_scope,solution_complexity,side_effect_risk,fix_localization,environment_setup_complexity,similar_issue_likelihood,solution_hint,atypicality,implementation_language_complexity,problem_clarity,change_blast_radius,entry_point_clarity,logical_reasoning_required,expected_behavior_clarity
scikit-learn__scikit-learn-11310,1,1,1,2,4,3,1,3,1,2,5,2,5,1,5
scikit-learn__scikit-learn-11578,1,1,1,2,5,2,1,3,2,2,5,2,5,2,5
scikit-learn__scikit-learn-12585,1,1,1,2,5,2,1,3,2,2,5,3,5,2,4
scikit-learn__scikit-learn-12682,2,3,3,3,4,3,1,3,2,3,4,2,4,3,4
scikit-learn__scikit-learn-12973,1,1,1,2,4,2,1,3,1,2,5,2,5,2,5
scikit-learn__scikit-learn-13124,2,1,1,3,4,2,1,2,3,2,4,3,5,3,4
scikit-learn__scikit-learn-13135,2,1,1,1,4,2,1,2,2,2,5,2,5,2,3
scikit-learn__scikit-learn-13142,2,1,1,1,5,3,1,3,2,3,5,2,5,3,5
scikit-learn__scikit-learn-13328,1,1,1,2,4,2,1,2,1,2,5,2,5,2,5
scikit-learn__scikit-learn-13439,1,1,1,2,5,2,1,3,1,2,5,1,5,1,5
scikit-learn__scikit-learn-13496,1,1,1,2,4,3,1,3,1,2,5,2,5,1,5
scikit-learn__scikit-learn-13779,1,1,1,1,4,3,1,2,1,2,5,2,5,2,4
scikit-learn__scikit-learn-14053,2,1,1,1,5,2,1,3,2,2,5,2,5,2,3
scikit-learn__scikit-learn-14087,3,1,3,2,4,2,1,1,3,2,5,3,5,3,4
scikit-learn__scikit-learn-14141,1,1,1,1,4,2,1,3,1,1,5,2,5,1,5
scikit-learn__scikit-learn-14496,1,1,2,2,4,2,1,3,1,2,5,2,5,1,5
scikit-learn__scikit-learn-14629,1,1,2,2,4,2,1,3,2,2,5,2,5,2,4
scikit-learn__scikit-learn-14710,1,1,2,2,4,3,1,3,2,3,5,2,5,2,5
scikit-learn__scikit-learn-14894,1,1,2,2,4,3,1,2,2,3,5,2,5,2,4
scikit-learn__scikit-learn-14983,1,1,2,2,4,2,1,3,2,2,5,2,5,2,5
scikit-learn__scikit-learn-15100,1,1,2,2,4,2,1,3,2,2,5,2,5,2,5
scikit-learn__scikit-learn-25102,4,3,3,3,4,3,0,2,3,3,4,4,4,4,3
scikit-learn__scikit-learn-25232,1,1,1,2,4,3,1,3,1,2,5,2,5,1,5
scikit-learn__scikit-learn-25747,2,1,1,3,4,2,1,3,2,2,5,3,5,2,4
scikit-learn__scikit-learn-25931,1,1,2,2,4,3,1,3,2,2,5,2,5,2,5
scikit-learn__scikit-learn-25973,2,1,2,1,4,2,1,3,2,2,5,2,5,2,4
scikit-learn__scikit-learn-26194,1,1,1,3,4,3,1,2,2,2,5,2,5,2,4
scikit-learn__scikit-learn-26323,2,1,1,2,4,2,1,2,2,2,5,2,5,3,5
scikit-learn__scikit-learn-9288,1,1,1,3,4,3,1,3,2,4,5,2,5,2,5
sphinx-doc__sphinx-10323,2,1,1,2,4,2,1,3,3,2,4,2,5,3,5
sphinx-doc__sphinx-10435,2,1,2,2,4,2,1,3,3,2,5,2,5,2,4
sphinx-doc__sphinx-10449,3,1,3,2,4,2,1,1,3,2,5,3,5,3,4
sphinx-doc__sphinx-10466,1,1,1,2,4,2,1,3,1,2,4,2,5,2,4
sphinx-doc__sphinx-10614,3,1,3,3,4,2,1,2,3,2,5,2,5,4,4
sphinx-doc__sphinx-10673,4,3,3,3,4,2,0,1,4,2,4,3,5,4,4
sphinx-doc__sphinx-11445,3,1,2,3,4,2,1,2,3,2,4,3,4,4,4
sphinx-doc__sphinx-11510,4,2,4,3,4,2,0,3,4,2,5,4,4,4,5
sphinx-doc__sphinx-7440,2,1,1,3,4,2,1,1,2,2,4,2,5,3,4
sphinx-doc__sphinx-7454,3,1,1,2,4,2,1,1,3,2,5,3,5,3,5
sphinx-doc__sphinx-7462,1,2,2,1,5,2,1,3,2,1,5,2,5,2,4
sphinx-doc__sphinx-7590,4,3,4,3,4,2,0,1,4,2,4,2,5,4,3
sphinx-doc__sphinx-7748,3,2,4,3,4,2,0,1,4,2,3,2,5,4,3
sphinx-doc__sphinx-7757,3,1,3,2,4,2,1,1,3,2,5,2,4,4,4
sphinx-doc__sphinx-7889,2,1,1,1,4,2,1,2,2,2,4,2,4,2,3
sphinx-doc__sphinx-7910,1,1,1,2,4,2,1,3,2,2,5,2,5,2,4
sphinx-doc__sphinx-7985,2,1,2,3,4,2,1,2,3,2,4,2,5,3,3
sphinx-doc__sphinx-8035,3,2,3,3,4,2,1,2,2,2,4,2,5,3,4
sphinx-doc__sphinx-8056,3,1,3,3,4,2,1,1,3,2,4,3,4,3,4
sphinx-doc__sphinx-8120,3,2,2,3,4,2,1,2,3,2,5,3,4,3,5
sphinx-doc__sphinx-8265,3,1,3,3,4,2,1,1,3,1,4,3,4,4,5
sphinx-doc__sphinx-8269,2,1,1,2,4,2,1,2,2,2,5,2,5,2,5
sphinx-doc__sphinx-8459,3,1,1,2,4,2,1,1,3,2,5,3,5,3,5
sphinx-doc__sphinx-8475,1,1,1,1,5,2,1,3,1,2,5,2,5,1,5
sphinx-doc__sphinx-8548,4,2,3,3,4,2,1,2,3,2,4,3,4,4,4
sphinx-doc__sphinx-8551,4,2,2,2,4,2,1,1,4,2,4,3,4,4,4
sphinx-doc__sphinx-8593,3,2,3,3,4,2,1,1,3,1,4,3,4,4,4
sphinx-doc__sphinx-8595,2,1,1,2,5,2,1,1,2,1,5,2,5,2,5
sphinx-doc__sphinx-8621,2,1,1,2,4,2,1,2,3,1,5,2,5,3,5
sphinx-doc__sphinx-8638,4,1,1,3,4,2,1,1,4,2,4,3,4,3,4
sphinx-doc__sphinx-8721,2,1,1,2,4,2,1,2,2,2,4,2,4,2,4
sphinx-doc__sphinx-9229,4,1,3,3,4,2,1,1,4,2,4,3,4,4,4
sphinx-doc__sphinx-9230,3,1,1,3,4,2,1,1,2,2,5,3,4,3,5
sphinx-doc__sphinx-9258,2,1,1,2,4,2,1,2,2,2,4,2,4,2,4
sphinx-doc__sphinx-9281,2,1,2,2,4,2,1,3,2,1,5,3,4,2,5
sphinx-doc__sphinx-9320,1,1,1,1,5,2,1,1,1,1,5,2,5,2,5
sphinx-doc__sphinx-9367,1,1,1,1,5,2,1,3,1,1,5,2,5,2,5
sphinx-doc__sphinx-9461,4,3,4,3,4,2,0,1,4,1,4,3,4,4,4
sphinx-doc__sphinx-9591,3,1,2,2,4,2,1,1,3,2,4,3,4,3,4
sphinx-doc__sphinx-9602,3,1,3,3,4,2,1,1,4,2,4,3,4,4,4
sphinx-doc__sphinx-9658,3,1,2,3,4,2,1,1,3,2,4,3,5,3,5
sphinx-doc__sphinx-9673,2,1,1,1,4,2,1,3,2,1,5,3,4,2,4
sphinx-doc__sphinx-9698,1,1,1,1,5,2,1,3,1,2,5,2,5,1,5
sphinx-doc__sphinx-9711,1,1,2,2,4,2,1,2,1,2,5,2,5,2,5
sympy__sympy-11618,1,1,3,3,4,2,1,2,2,1,5,2,5,3,5
sympy__sympy-12096,1,1,1,2,5,2,1,3,2,1,5,2,5,2,5
sympy__sympy-12419,2,1,2,3,4,2,1,3,3,1,5,2,4,3,5
sympy__sympy-12481,1,1,1,2,4,2,1,2,2,1,4,2,5,2,4
sympy__sympy-12489,1,1,3,2,4,2,1,3,2,1,5,4,5,2,5
sympy__sympy-13031,3,2,3,3,4,2,1,2,3,1,4,3,5,3,5
sympy__sympy-13091,2,5,3,4,4,2,1,3,2,1,5,3,5,3,5
sympy__sympy-13372,1,1,1,2,4,2,1,3,1,2,5,2,5,2,3
sympy__sympy-13480,1,1,1,1,5,2,1,3,1,1,5,1,5,1,3
sympy__sympy-13551,2,1,2,3,4,2,1,3,3,2,5,3,4,3,5
sympy__sympy-13615,2,1,3,3,4,2,1,1,3,1,4,2,5,4,4
sympy__sympy-13647,1,1,1,1,4,2,1,3,1,1,5,3,5,2,4
sympy__sympy-13757,3,1,1,3,4,2,1,0,3,2,5,3,5,3,5
sympy__sympy-13798,1,1,2,2,4,2,1,2,2,1,4,2,5,3,5
sympy__sympy-13852,2,1,3,3,4,2,1,2,3,1,4,2,5,3,5
sympy__sympy-13877,3,2,3,3,4,2,1,2,3,2,4,3,5,4,4
sympy__sympy-13878,1,1,3,2,4,2,1,3,2,2,5,2,4,2,4
sympy__sympy-13974,2,1,3,3,4,2,1,3,3,1,5,2,5,3,5
sympy__sympy-14248,2,3,3,3,4,2,1,1,2,1,5,2,4,3,4
sympy__sympy-14531,2,1,2,2,4,2,1,2,2,1,4,2,5,2,5
sympy__sympy-14711,1,1,1,2,4,2,1,3,1,1,5,2,5,2,4
sympy__sympy-14976,2,1,1,2,4,2,1,2,2,2,4,2,5,2,4
sympy__sympy-15017,2,1,1,2,4,2,1,1,1,1,5,2,5,2,5
sympy__sympy-15345,2,1,2,1,4,2,1,1,2,1,5,2,5,3,5
sympy__sympy-15349,1,1,1,2,4,2,1,2,1,1,5,2,5,2,4
sympy__sympy-15599,3,1,3,3,4,2,1,3,3,1,4,2,5,3,5
sympy__sympy-15809,1,1,1,3,4,2,1,3,1,1,5,2,5,1,5
sympy__sympy-15875,2,1,1,2,4,2,1,2,3,1,4,3,4,3,5
sympy__sympy-15976,2,1,2,2,4,2,1,3,2,1,5,2,5,2,5
sympy__sympy-16450,1,1,1,2,4,2,1,3,1,1,5,2,5,2,4
sympy__sympy-16597,4,4,4,4,4,2,0,2,3,1,4,3,5,4,3
sympy__sympy-16766,1,1,1,1,4,2,1,3,1,1,5,2,5,1,5
sympy__sympy-16792,2,1,3,2,4,2,1,2,3,2,5,2,4,3,5
sympy__sympy-16886,1,1,1,1,5,2,1,3,1,1,5,1,5,1,5
sympy__sympy-17139,2,1,1,2,5,2,1,1,2,1,5,2,5,2,3
sympy__sympy-17318,3,2,2,2,4,2,1,3,3,1,5,2,5,3,5
sympy__sympy-17630,4,2,2,3,4,2,1,1,4,1,4,2,5,4,4
sympy__sympy-17655,1,1,1,2,4,2,1,3,1,1,5,2,5,1,5
sympy__sympy-18189,1,1,1,1,4,2,1,3,1,1,5,2,5,2,5
sympy__sympy-18199,3,2,4,3,4,2,1,2,4,2,4,2,5,4,4
sympy__sympy-18211,1,1,1,2,4,2,1,3,1,2,5,2,4,2,5
sympy__sympy-18698,3,1,3,3,4,2,1,3,3,1,4,3,4,3,5
sympy__sympy-18763,1,1,1,2,4,2,1,3,1,1,5,2,5,1,5
sympy__sympy-19040,1,1,1,2,4,2,1,3,2,1,5,3,5,2,5
sympy__sympy-19346,1,1,2,2,5,2,1,2,1,1,5,2,5,2,4
sympy__sympy-19495,3,1,2,3,4,2,1,1,3,1,4,2,4,4,4
sympy__sympy-19637,2,1,1,1,5,2,1,2,1,1,4,2,5,2,3
sympy__sympy-19783,2,2,2,3,4,2,1,1,3,1,4,2,4,3,5
sympy__sympy-19954,3,1,3,1,4,2,1,1,2,2,4,2,5,3,3
sympy__sympy-20154,1,1,1,3,4,2,1,3,1,1,5,2,5,1,5
sympy__sympy-20428,3,1,1,3,4,2,1,2,3,2,4,3,5,3,5
sympy__sympy-20438,4,3,3,3,4,2,0,1,3,1,4,3,4,4,4
sympy__sympy-20590,2,1,1,2,4,2,1,3,2,1,5,3,5,2,5
sympy__sympy-20801,3,1,2,3,4,2,1,1,3,1,4,3,4,4,4
sympy__sympy-20916,1,1,1,2,4,2,1,3,2,1,5,2,4,2,5
sympy__sympy-21379,4,2,1,2,4,2,1,3,2,1,5,3,4,3,4
sympy__sympy-21596,4,1,4,3,4,2,0,1,4,1,4,3,4,4,5
sympy__sympy-21612,3,1,1,2,4,2,1,3,3,2,5,2,5,3,5
sympy__sympy-21847,1,1,1,2,4,2,1,3,1,1,5,2,5,2,5
sympy__sympy-21930,1,1,1,2,4,2,1,3,1,1,5,2,5,1,5
sympy__sympy-22080,3,2,3,3,4,2,1,2,3,1,4,3,5,4,4
sympy__sympy-22456,3,1,3,3,4,2,1,2,4,1,3,2,5,4,5
sympy__sympy-22714,3,1,1,2,4,2,1,1,3,1,4,3,4,3,4
sympy__sympy-22914,1,1,1,1,5,2,1,3,1,1,5,2,5,1,5
sympy__sympy-23262,1,1,1,2,4,2,1,2,2,1,5,2,5,2,5
sympy__sympy-23413,2,1,2,2,4,2,1,1,3,1,4,3,4,3,5
sympy__sympy-23534,2,1,1,1,4,2,1,1,2,1,5,2,5,2,5
sympy__sympy-23824,1,1,1,1,5,2,1,3,2,1,5,2,5,2,5
sympy__sympy-23950,1,1,1,2,4,2,1,3,2,1,5,3,5,2,5
sympy__sympy-24066,3,1,2,2,4,2,1,1,3,1,5,2,5,3,4
sympy__sympy-24213,2,1,1,2,4,2,1,1,3,2,5,2,5,3,4
sympy__sympy-24443,2,1,3,2,4,2,1,2,4,2,4,2,5,4,4
sympy__sympy-24539,1,1,1,1,5,2,1,3,1,1,5,2,5,2,4
sympy__sympy-24562,2,1,3,2,5,2,1,3,2,1,4,2,5,3,5
sympy__sympy-24661,1,1,2,2,4,2,1,3,2,2,5,2,5,2,5
