instance_id,atypicality,codebase_scale,codebase_scope,debugging_complexity,domain_knowledge_required,error_specificity,fix_localization,implementation_language_complexity,logical_reasoning_required,side_effect_risk,similar_issue_likelihood,solution_complexity,solution_hint,test_edge_case_coverage,verification_difficulty
sphinx-doc__sphinx-7590,4,3,3,3,4,5,4,2,4,3,1,4,1,4,3
matplotlib__matplotlib-14623,3,4,3,4,4,4,4,3,3,3,1,3,3,2,2
django__django-16527,1,4,1,1,3,4,4,1,2,2,1,1,3,2,2
django__django-16032,4,4,2,4,4,5,4,2,4,3,0,3,3,2,3
pydata__xarray-2905,3,3,1,2,3,4,4,1,2,3,1,2,3,2,2
django__django-12708,4,4,2,3,4,5,4,2,3,2,1,2,1,2,2
django__django-15022,4,4,2,2,4,4,4,2,4,3,1,2,2,4,3
sympy__sympy-17655,1,3,1,1,2,5,4,1,2,2,1,1,3,2,1
sphinx-doc__sphinx-9367,1,3,1,1,2,4,5,1,2,1,1,1,2,2,1
pylint-dev__pylint-7080,2,4,1,2,2,5,4,2,2,2,1,1,3,3,2
astropy__astropy-8707,2,4,2,2,3,4,4,2,3,3,1,3,2,2,2
django__django-11734,4,4,3,4,4,5,4,2,4,3,0,3,2,2,3
pydata__xarray-4687,2,3,2,2,4,4,4,1,3,3,1,2,3,1,2
astropy__astropy-7671,2,4,1,2,2,5,4,2,2,3,1,2,3,2,2
django__django-11276,2,4,3,2,3,4,4,1,3,4,1,2,3,4,3
pallets__flask-5014,1,2,1,1,2,4,5,1,2,2,1,1,2,2,1
django__django-11333,3,4,2,2,4,4,5,1,3,2,1,2,3,2,2
django__django-11299,4,4,2,3,4,5,4,2,3,3,0,1,2,3,3
django__django-16819,2,5,2,2,4,3,4,1,2,2,1,2,1,1,2
pydata__xarray-4629,2,2,1,1,2,5,5,1,2,1,1,1,3,2,1
django__django-11149,3,4,2,3,4,4,4,2,3,3,1,2,1,3,3
django__django-14170,3,5,2,3,4,4,4,2,3,3,1,2,3,4,3
pytest-dev__pytest-7521,3,3,1,3,3,5,4,2,2,3,1,1,2,3,2
django__django-13089,2,5,1,2,3,5,4,1,2,1,1,2,3,3,2
django__django-13820,4,4,2,2,4,4,5,1,3,2,1,2,3,3,2
django__django-13344,3,4,2,2,4,4,4,2,3,3,1,3,3,4,2
scikit-learn__scikit-learn-10908,2,4,1,2,3,5,4,3,2,2,1,1,2,3,2
django__django-11400,2,4,3,2,4,4,4,2,3,3,1,3,2,4,3
django__django-13128,4,4,2,4,4,5,4,2,4,3,1,3,1,4,3
django__django-15382,4,5,2,3,4,5,4,2,3,3,1,2,3,2,2
sympy__sympy-12489,4,4,2,2,4,4,4,1,4,4,1,4,3,3,3
astropy__astropy-8872,2,4,1,2,3,4,4,3,3,3,1,2,3,2,2
astropy__astropy-14365,2,4,1,1,2,5,5,2,2,2,1,2,3,2,2
django__django-11292,2,4,2,2,3,4,4,1,2,3,1,2,2,2,2
sympy__sympy-18211,2,4,2,2,4,5,4,2,2,3,1,2,3,2,2
django__django-15814,4,4,2,2,4,5,4,2,3,2,1,2,3,2,2
django__django-12406,3,4,2,3,4,4,4,1,3,3,1,2,2,3,3
astropy__astropy-13398,4,4,4,5,5,4,4,2,4,4,0,4,3,3,4
sympy__sympy-23950,2,4,1,2,3,5,4,1,2,3,1,1,3,2,2
sphinx-doc__sphinx-9229,4,3,2,4,4,4,4,2,3,3,1,2,1,2,2
psf__requests-5414,2,2,1,2,3,5,4,1,2,2,1,1,2,3,2
psf__requests-1142,2,2,1,2,3,4,5,1,2,3,1,2,2,2,2
sphinx-doc__sphinx-9602,3,4,2,3,4,4,4,2,3,3,1,3,1,2,2
matplotlib__matplotlib-25122,3,4,2,2,4,4,4,2,3,3,1,2,3,3,3
django__django-14053,3,4,2,3,4,5,4,2,3,3,1,2,2,2,2
django__django-12304,3,4,1,2,3,4,4,1,2,2,1,1,3,1,2
django__django-12754,4,4,2,4,4,5,4,2,4,3,0,3,3,2,3
sphinx-doc__sphinx-7889,3,3,1,2,3,5,4,2,2,2,1,1,2,2,2
django__django-11206,2,4,1,2,2,5,4,1,2,2,1,2,2,3,2
sphinx-doc__sphinx-8551,3,4,2,4,4,5,4,2,3,2,1,2,1,2,2
django__django-13112,3,5,1,2,4,5,4,2,2,2,1,2,3,2,2
sympy__sympy-24539,2,4,1,1,2,5,5,1,2,2,1,1,3,2,1
django__django-16255,2,5,1,1,2,5,4,2,2,1,1,1,3,3,2
django__django-14792,3,4,1,2,4,5,4,2,3,3,1,1,3,4,2
matplotlib__matplotlib-24637,2,4,2,2,3,4,4,3,2,2,1,2,3,1,2
pydata__xarray-4966,4,2,1,2,4,5,4,1,3,3,1,2,3,3,2
pydata__xarray-6721,3,3,1,3,4,5,4,1,3,2,1,1,2,2,2
django__django-13807,2,4,2,2,4,5,4,2,2,2,1,2,3,3,2
matplotlib__matplotlib-26466,2,4,2,2,3,4,4,3,3,2,1,2,3,2,2
matplotlib__matplotlib-20859,3,4,1,1,3,5,5,1,2,2,1,1,3,1,2
sphinx-doc__sphinx-8269,2,3,1,2,3,5,4,2,2,2,1,1,2,3,2
astropy__astropy-13033,2,4,1,2,2,5,4,2,2,2,1,2,2,2,2
django__django-16263,4,5,3,4,4,4,4,2,4,3,0,4,2,3,4
django__django-11119,2,5,1,2,3,4,5,1,2,3,1,1,3,2,2
pydata__xarray-7393,3,2,1,2,4,4,4,1,2,2,1,2,3,2,2
mwaskom__seaborn-3187,3,2,2,2,4,4,4,2,3,3,1,2,2,2,2
pytest-dev__pytest-5262,2,2,1,1,2,5,4,1,2,2,1,1,3,2,2
pytest-dev__pytest-7571,2,2,1,2,3,4,4,2,2,2,1,2,1,3,2
astropy__astropy-14369,4,3,2,4,4,5,4,2,4,3,1,3,2,4,3
sphinx-doc__sphinx-8475,2,3,1,2,3,4,5,2,2,2,1,1,3,3,2
django__django-15731,2,4,1,1,3,5,5,1,2,2,1,1,3,2,2
pytest-dev__pytest-5809,2,2,1,1,2,5,4,1,2,2,1,1,3,2,1
django__django-12774,2,4,2,2,3,5,4,1,3,2,1,2,2,4,2
scikit-learn__scikit-learn-13328,2,3,1,2,3,5,4,2,2,2,1,1,2,2,2
sympy__sympy-19637,1,4,1,2,2,5,5,1,2,1,1,1,2,2,1
django__django-14376,2,4,2,2,3,4,4,2,2,2,1,2,3,3,2
scikit-learn__scikit-learn-14496,2,3,2,2,3,5,4,2,2,2,1,2,3,2,2
django__django-12308,2,4,2,2,3,4,4,2,2,2,1,2,2,4,2
sympy__sympy-24562,3,4,1,2,4,4,5,1,3,3,1,2,3,3,2
astropy__astropy-12907,4,3,2,3,4,4,4,2,3,2,1,1,1,3,2
pydata__xarray-4356,2,2,1,2,3,4,4,2,3,2,1,2,3,4,2
django__django-11820,3,4,2,3,4,5,4,2,3,2,1,2,1,3,2
django__django-15863,2,4,1,2,2,4,4,1,2,2,1,1,3,2,2
django__django-14771,3,4,1,2,3,4,4,1,2,3,1,2,2,2,2
django__django-11066,3,4,2,2,4,5,5,1,2,2,1,1,3,3,3
pydata__xarray-3305,2,2,2,2,3,5,4,1,2,2,1,2,3,3,2
matplotlib__matplotlib-23412,3,4,2,2,3,4,5,3,2,3,1,1,3,2,2
scikit-learn__scikit-learn-14087,3,3,2,3,4,5,4,2,3,2,1,2,1,3,2
django__django-15930,4,4,2,3,4,5,4,2,3,2,1,2,1,3,2
django__django-12125,2,4,1,2,4,4,4,1,2,3,1,1,3,2,2
scikit-learn__scikit-learn-15100,2,3,1,2,2,5,4,2,2,2,1,2,3,4,2
sphinx-doc__sphinx-8265,3,3,2,3,4,4,4,1,3,3,1,3,1,2,2
django__django-11532,2,4,2,2,3,5,4,1,2,3,1,3,3,2,2
django__django-11477,2,4,2,2,4,4,4,2,3,3,1,1,3,4,2
django__django-9296,1,4,1,1,2,3,5,1,1,2,1,1,3,1,1
sphinx-doc__sphinx-8459,3,3,2,3,4,4,4,2,3,2,1,1,1,2,2
sympy__sympy-14711,2,4,1,2,2,5,4,1,2,2,1,1,2,2,1
sympy__sympy-18698,3,3,2,2,4,4,4,1,3,3,1,2,3,2,2
django__django-16560,2,4,3,2,4,4,4,1,3,3,1,3,2,4,3
scikit-learn__scikit-learn-26323,2,3,1,2,4,4,4,2,2,2,1,2,2,2,2
django__django-11163,1,4,1,1,2,4,5,1,2,2,1,1,3,3,1
scikit-learn__scikit-learn-14710,3,3,2,2,4,5,4,3,3,2,1,2,3,2,2
django__django-13670,2,4,1,2,2,4,5,1,2,2,1,1,2,3,1
django__django-13109,2,4,2,2,4,5,4,2,2,3,1,1,3,3,2
astropy__astropy-14539,3,4,2,2,4,5,4,2,2,2,1,1,3,3,2
sphinx-doc__sphinx-9658,4,3,2,4,4,4,4,2,3,3,1,2,1,2,2
django__django-15161,2,4,2,2,3,4,4,1,2,2,1,2,2,2,2
sympy__sympy-13647,2,3,1,2,3,4,4,1,2,2,1,1,2,2,2
django__django-11964,2,4,1,2,3,5,4,2,2,3,1,1,2,2,2
django__django-11749,4,4,1,2,4,5,4,2,3,3,1,2,2,3,2
pydata__xarray-3095,3,2,2,3,4,5,4,1,3,2,1,2,1,2,2
sphinx-doc__sphinx-8120,4,3,2,3,4,4,4,2,3,3,1,2,2,2,2
scikit-learn__scikit-learn-14053,2,3,1,2,3,5,5,2,2,2,1,1,2,2,2
scikit-learn__scikit-learn-13779,2,3,1,2,3,5,4,2,2,2,1,1,2,3,2
psf__requests-1724,2,2,1,1,3,5,4,2,2,2,1,1,3,2,2
django__django-12325,4,4,2,4,4,5,4,2,4,3,0,2,3,4,3
scikit-learn__scikit-learn-14141,1,3,1,1,1,4,4,1,1,1,1,1,2,1,1
matplotlib__matplotlib-26113,2,5,1,2,3,4,4,3,2,3,1,1,3,2,2
django__django-14434,4,4,2,2,4,4,4,2,3,2,1,2,2,2,2
sphinx-doc__sphinx-9320,2,3,1,2,2,5,5,1,2,2,1,1,2,2,2
pylint-dev__pylint-4604,3,3,2,3,4,5,4,2,3,2,1,2,1,3,2
django__django-12276,2,5,1,1,3,4,4,1,2,2,1,2,3,2,2
django__django-10973,2,4,2,2,2,3,4,1,2,3,1,2,3,4,2
sympy__sympy-16886,1,3,1,1,1,4,5,1,1,1,1,1,3,2,1
matplotlib__matplotlib-22865,3,4,2,3,4,4,4,3,3,2,1,2,1,4,2
sphinx-doc__sphinx-8638,3,3,1,3,4,4,4,2,3,2,1,1,1,1,2
pytest-dev__pytest-10051,2,2,1,2,3,5,4,1,2,2,1,2,3,2,2
scikit-learn__scikit-learn-13124,3,4,2,2,4,5,4,2,3,3,1,2,2,2,2
django__django-16429,2,4,1,2,3,5,5,1,2,1,1,1,3,4,2
django__django-11138,3,4,3,3,4,5,4,2,4,3,1,4,3,3,4
django__django-13410,2,4,1,1,2,5,5,1,2,2,1,2,3,3,2
django__django-16612,2,4,1,1,3,4,4,1,2,2,1,1,3,4,2
sympy__sympy-20428,4,4,2,3,4,5,4,2,3,3,1,1,2,2,2
django__django-14855,2,4,2,1,3,4,5,1,2,2,1,1,3,3,2
django__django-15252,3,4,2,3,4,4,4,1,3,2,1,2,2,3,2
django__django-11211,4,4,2,4,4,4,4,1,3,3,1,2,1,2,2
astropy__astropy-14309,2,3,1,2,2,5,4,2,2,2,1,1,3,2,1
django__django-13810,4,5,2,4,4,5,4,2,4,2,0,2,3,3,3
sympy__sympy-14531,2,4,2,3,3,4,4,1,3,3,1,3,2,2,2
django__django-13406,4,4,1,2,4,5,4,1,3,2,1,1,3,3,2
sympy__sympy-14248,3,4,3,3,4,4,4,1,3,3,1,3,2,3,2
django__django-14140,3,4,2,2,4,5,4,2,3,3,1,2,3,4,2
sympy__sympy-13974,3,4,2,2,4,4,4,1,3,3,1,3,3,2,2
sphinx-doc__sphinx-9711,2,3,1,2,2,5,4,2,2,2,1,2,2,2,2
sympy__sympy-19495,4,3,2,3,4,4,4,1,4,3,1,2,1,3,3
django__django-11179,2,4,1,2,4,4,5,2,2,2,1,1,3,2,2
sphinx-doc__sphinx-10466,2,3,1,2,3,5,4,2,2,2,1,2,3,2,2
django__django-16595,2,4,2,2,4,4,4,1,2,2,1,1,3,2,2
sympy__sympy-13372,3,4,1,2,4,5,4,2,2,2,1,2,3,2,2
pydata__xarray-6599,3,2,2,3,4,5,4,1,3,2,1,2,2,2,2
django__django-15268,3,4,2,3,4,4,4,2,4,3,1,2,2,3,3
sphinx-doc__sphinx-8593,3,4,2,3,4,4,4,1,3,3,1,3,1,3,2
sympy__sympy-20916,2,3,2,2,2,4,4,1,2,2,1,1,3,4,2
sympy__sympy-21612,3,4,2,2,3,5,4,2,2,3,1,2,3,2,2
django__django-11790,2,4,1,2,3,4,4,1,2,2,1,1,2,3,2
pytest-dev__pytest-7205,2,2,1,2,3,5,4,1,2,2,1,1,3,3,2
matplotlib__matplotlib-24026,3,4,2,2,4,5,4,2,3,3,1,2,3,2,2
sympy__sympy-15875,3,3,1,2,4,4,4,1,3,3,1,1,2,2,2
django__django-16901,4,4,2,2,4,5,4,2,4,3,1,2,2,3,3
django__django-11728,3,4,1,2,2,5,4,2,3,2,1,2,3,4,2
